"Product","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50",
"P10","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES",
"P11","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES",
"P12","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P13","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P14","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES",
"P15","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P16","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES",
"P17","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES",
"P18","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES",
"P19","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES",
"P20","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P21","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES",
"P22","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES",
"P23","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES",
"P24","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES",
"P25","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES",
"P26","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES",
"P27","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","YES",
"P28","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES",
"P29","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES",
"P30","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES",
"P31","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES",
"P32","YES","YES","NO","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P33","YES","YES","NO","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P34","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES",
"P35","YES","NO","NO","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES",
"P36","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES",
"P37","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES",
"P38","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P39","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES",
"P40","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES",
"P41","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES",
"P42","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",
"P43","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES",
"P44","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES",
"P45","YES","YES","NO","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P46","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P47","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P48","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES",
"P49","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES",
#PCMSeed:398226875
